id,Title
5114,Fullmetal Alchemist: Brotherhood
38524,Shingeki no Kyojin Season 3 Part 2
9253,Steins;Gate
42938,Fruits Basket: The Final
28977,Gintama°
11061,Hunter x Hunter (2011)
9969,Gintama'
15417,Gintama': Enchousen
35180,3-gatsu no Lion 2nd Season
34096,Gintama.
4181,Clannad: After Story
918,Gintama
40028,Shingeki no Kyojin: The Final Season
2904,Code Geass: Hangyaku no Lelouch R2
35247,Owarimonogatari 2nd Season
37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen
36838,Gintama.: Shirogane no Tamashii-hen
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
37510,Mob Psycho 100 II
46102,Odd Taxi
19,Monster
17074,Monogatari Series: Second Season
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
1,Cowboy Bebop
40748,Jujutsu Kaisen (TV)
24701,Mushishi Zoku Shou 2nd Season
263,Hajime no Ippo
37521,Vinland Saga
21939,Mushishi Zoku Shou
1575,Code Geass: Hangyaku no Lelouch
34599,Made in Abyss
245,Great Teacher Onizuka
23273,Shigatsu wa Kimi no Uso
457,Mushishi
2921,Ashita no Joe 2
28891,Haikyuu!! Second Season
40591,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen
5258,Hajime no Ippo: New Challenger
11665,Natsume Yuujinchou Shi
2001,Tengen Toppa Gurren Lagann
33352,Violet Evergarden
34591,Natsume Yuujinchou Roku
35760,Shingeki no Kyojin Season 3
1535,Death Note
22135,Ping Pong the Animation
7785,Yojouhan Shinwa Taikei
19647,Hajime no Ippo: Rising
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
10379,Natsume Yuujinchou San
28735,Shouwa Genroku Rakugo Shinjuu
37779,Yakusoku no Neverland
32983,Natsume Yuujinchou Go
21,One Piece
11741,Fate/Zero 2nd Season
40417,Fruits Basket 2nd Season
38000,Kimetsu no Yaiba
41025,Fumetsu no Anata e
5300,Zoku Natsume Yuujinchou
12365,Bakuman. 3rd Season
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
35839,Sora yori mo Tooi Basho
38474,Yuru Camp△ Season 2
40776,Haikyuu!!: To the Top 2nd Season
35843,Gintama.: Porori-hen
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG
30276,One Punch Man
170,Slam Dunk
46095,Vivy: Fluorite Eye's Song
30654,Ansatsu Kyoushitsu 2nd Season
3297,Aria the Origination
6114,Rainbow: Nisha Rokubou no Shichinin
16498,Shingeki no Kyojin
30484,Steins;Gate 0
12431,Uchuu Kyoudai
205,Samurai Champloo
36649,Banana Fish
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
33,Kenpuu Denki Berserk
37379,Chihayafuru 3
25777,Shingeki no Kyojin Season 2
877,Nana
20583,Haikyuu!!
32182,Mob Psycho 100
10165,Nichijou
31181,Owarimonogatari
34612,Saiki Kusuo no Ψ-nan 2
392,Yuu☆Yuu☆Hakusho
40059,Golden Kamuy 3rd Season
39247,Kobayashi-san Chi no Maid Dragon S
467,Koukaku Kidoutai: Stand Alone Complex
2246,Mononoke
33255,Saiki Kusuo no Ψ-nan
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season
5028,Major S5
37105,Grand Blue
37965,Kaze ga Tsuyoku Fuiteiru
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season
39808,Non Non Biyori Nonstop
39551,Tensei shitara Slime Datta Ken 2nd Season
41487,Tensei shitara Slime Datta Ken 2nd Season Part 2
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan
31646,3-gatsu no Lion
14397,Chihayafuru 2
5941,Cross Game
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
38889,Kono Oto Tomare! 2nd Season
2251,Baccano!
22789,Barakamon
35557,Houseki no Kuni (TV)
136,Hunter x Hunter
10162,Usagi Drop
